state,year,month,unemployment_rate
Alaska,2024,10,4.6
Alaska,2024,11,4.6
Alaska,2024,12,4.5
Alaska,2025,01,4.5
Alaska,2025,02,4.6
Alaska,2025,03,4.6
Alaska,2025,04,4.6
Alaska,2025,05,4.6
Alaska,2025,06,4.6
Alaska,2025,07,4.6
Alaska,2025,08,4.6
Alaska,2025,09,4.7
Alaska,2025,10,-
Alaska,2025,11,4.8
Alaska,2025,12,4.8
Arizona,2016,01,5.7
Arizona,2016,02,5.7
Arizona,2016,03,5.6
Arizona,2016,04,5.6
Arizona,2016,05,5.6
Arizona,2016,06,5.5
Arizona,2016,07,5.5
Arizona,2016,08,5.4
Arizona,2016,09,5.4
Arizona,2016,10,5.4
Arizona,2016,11,5.3
Arizona,2016,12,5.3
Arizona,2017,01,5.2
Arizona,2017,02,5.2
Arizona,2017,03,5.1
Arizona,2017,04,5.0
Arizona,2017,05,5.0
Arizona,2017,06,4.9
Arizona,2017,07,4.9
Arizona,2017,08,4.8
Arizona,2017,09,4.8
Arizona,2017,10,4.8
Arizona,2017,11,4.9
Arizona,2017,12,4.9
Arizona,2018,01,4.9
Arizona,2018,02,4.8
Arizona,2018,03,4.8
Arizona,2018,04,4.7
Arizona,2018,05,4.7
Arizona,2018,06,4.7
Arizona,2018,07,4.7
Arizona,2018,08,4.7
Arizona,2018,09,4.8
Arizona,2018,10,4.9
Arizona,2018,11,5.0
Arizona,2018,12,5.0
Arizona,2019,01,5.0
Arizona,2019,02,5.0
Arizona,2019,03,4.9
Arizona,2019,04,4.9
Arizona,2019,05,4.8
Arizona,2019,06,4.8
Arizona,2019,07,4.8
Arizona,2019,08,4.8
Arizona,2019,09,4.7
Arizona,2019,10,4.7
Arizona,2019,11,4.7
Arizona,2019,12,4.7
Arizona,2020,01,4.8
Arizona,2020,02,4.8
Arizona,2020,03,4.9
Arizona,2020,04,13.8
Arizona,2020,05,11.2
Arizona,2020,06,9.8
Arizona,2020,07,9.0
Arizona,2020,08,7.9
Arizona,2020,09,7.5
Arizona,2020,10,7.0
Arizona,2020,11,6.7
Arizona,2020,12,6.5
Arizona,2021,01,6.3
Arizona,2021,02,6.2
Arizona,2021,03,6.0
Arizona,2021,04,5.8
Arizona,2021,05,5.6
Arizona,2021,06,5.3
Arizona,2021,07,4.9
Arizona,2021,08,4.6
Arizona,2021,09,4.2
Arizona,2021,10,4.0
Arizona,2021,11,3.8
Arizona,2021,12,3.7
Arizona,2022,01,3.6
Arizona,2022,02,3.6
Arizona,2022,03,3.7
Arizona,2022,04,3.7
Arizona,2022,05,3.7
Arizona,2022,06,3.7
Arizona,2022,07,3.8
Arizona,2022,08,3.8
Arizona,2022,09,3.8
Arizona,2022,10,3.8
Arizona,2022,11,3.8
Arizona,2022,12,3.7
Arizona,2023,01,3.7
Arizona,2023,02,3.7
Arizona,2023,03,3.6
Arizona,2023,04,3.7
Arizona,2023,05,3.7
Arizona,2023,06,3.7
Arizona,2023,07,3.7
Arizona,2023,08,3.7
Arizona,2023,09,3.8
Arizona,2023,10,3.7
Arizona,2023,11,3.7
Arizona,2023,12,3.6
Arizona,2024,01,3.5
Arizona,2024,02,3.4
Arizona,2024,03,3.4
Arizona,2024,04,3.5
Arizona,2024,05,3.5
Arizona,2024,06,3.6
Arizona,2024,07,3.7
Arizona,2024,08,3.8
Arizona,2024,09,3.9
Arizona,2024,10,4.0
Arizona,2024,11,4.0
Arizona,2024,12,4.1
Arizona,2025,01,4.2
Arizona,2025,02,4.2
Arizona,2025,03,4.2
Arizona,2025,04,4.2
Arizona,2025,05,4.3
Arizona,2025,06,4.3
Arizona,2025,07,4.3
Arizona,2025,08,4.4
Arizona,2025,09,4.4
Arizona,2025,10,-
Arizona,2025,11,4.4
Arizona,2025,12,4.4
Arkansas,2016,01,4.2
Arkansas,2016,02,4.1
Arkansas,2016,03,4.0
Arkansas,2016,04,4.0
Arkansas,2016,05,4.0
Arkansas,2016,06,4.0
Arkansas,2016,07,4.0
Arkansas,2016,08,3.9
Arkansas,2016,09,3.9
Arkansas,2016,10,3.9
Arkansas,2016,11,3.9
Arkansas,2016,12,3.8
Arkansas,2017,01,3.8
Arkansas,2017,02,3.7
Arkansas,2017,03,3.7
Arkansas,2017,04,3.7
Arkansas,2017,05,3.7
Arkansas,2017,06,3.7
Arkansas,2017,07,3.7
Arkansas,2017,08,3.7
Arkansas,2017,09,3.8
Arkansas,2017,10,3.8
Arkansas,2017,11,3.8
Arkansas,2017,12,3.8
Arkansas,2018,01,3.8
Arkansas,2018,02,3.8
Arkansas,2018,03,3.7
Arkansas,2018,04,3.7
Arkansas,2018,05,3.6
Arkansas,2018,06,3.6
Arkansas,2018,07,3.5
Arkansas,2018,08,3.5
Arkansas,2018,09,3.6
Arkansas,2018,10,3.6
Arkansas,2018,11,3.7
Arkansas,2018,12,3.7
Arkansas,2019,01,3.7
Arkansas,2019,02,3.6
Arkansas,2019,03,3.5
Arkansas,2019,04,3.4
Arkansas,2019,05,3.4
Arkansas,2019,06,3.4
Arkansas,2019,07,3.4
Arkansas,2019,08,3.5
Arkansas,2019,09,3.5
Arkansas,2019,10,3.5
Arkansas,2019,11,3.5
Arkansas,2019,12,3.5
Arkansas,2020,01,3.5
Arkansas,2020,02,3.6
Arkansas,2020,03,4.8
Arkansas,2020,04,10.1
Arkansas,2020,05,8.9
Arkansas,2020,06,7.9
Arkansas,2020,07,7.3
Arkansas,2020,08,6.4
Arkansas,2020,09,5.9
Arkansas,2020,10,5.4
Arkansas,2020,11,5.1
Arkansas,2020,12,5.0
Arkansas,2021,01,4.9
Arkansas,2021,02,4.8
Arkansas,2021,03,4.7
Arkansas,2021,04,4.6
Arkansas,2021,05,4.4
Arkansas,2021,06,4.2
Arkansas,2021,07,4.0
Arkansas,2021,08,3.7
Arkansas,2021,09,3.5
Arkansas,2021,10,3.3
Arkansas,2021,11,3.2
Arkansas,2021,12,3.2
Arkansas,2022,01,3.2
Arkansas,2022,02,3.2
Arkansas,2022,03,3.2
Arkansas,2022,04,3.2
Arkansas,2022,05,3.2
Arkansas,2022,06,3.2
Arkansas,2022,07,3.2
Arkansas,2022,08,3.2
Arkansas,2022,09,3.2
Arkansas,2022,10,3.2
Arkansas,2022,11,3.1
Arkansas,2022,12,3.0
Arkansas,2023,01,2.9
Arkansas,2023,02,2.9
Arkansas,2023,03,2.9
Arkansas,2023,04,2.9
Arkansas,2023,05,3.0
Arkansas,2023,06,3.0
Arkansas,2023,07,3.2
Arkansas,2023,08,3.3
Arkansas,2023,09,3.4
Arkansas,2023,10,3.4
Arkansas,2023,11,3.5
Arkansas,2023,12,3.5
Arkansas,2024,01,3.4
Arkansas,2024,02,3.4
Arkansas,2024,03,3.4
Arkansas,2024,04,3.4
Arkansas,2024,05,3.4
Arkansas,2024,06,3.4
Arkansas,2024,07,3.5
Arkansas,2024,08,3.5
Arkansas,2024,09,3.5
Arkansas,2024,10,3.6
Arkansas,2024,11,3.7
Arkansas,2024,12,3.7
Arkansas,2025,01,3.8
Arkansas,2025,02,3.8
Arkansas,2025,03,3.9
Arkansas,2025,04,3.9
Arkansas,2025,05,4.0
Arkansas,2025,06,4.0
Arkansas,2025,07,4.1
Arkansas,2025,08,4.2
Arkansas,2025,09,4.2
Arkansas,2025,10,-
Arkansas,2025,11,4.3
Arkansas,2025,12,4.3
California,2016,01,5.7
California,2016,02,5.6
California,2016,03,5.6
California,2016,04,5.5
California,2016,05,5.5
California,2016,06,5.5
California,2016,07,5.5
California,2016,08,5.5
California,2016,09,5.5
California,2016,10,5.5
California,2016,11,5.4
California,2016,12,5.4
California,2017,01,5.3
California,2017,02,5.1
California,2017,03,5.0
California,2017,04,5.0
California,2017,05,4.9
California,2017,06,4.8
California,2017,07,4.8
California,2017,08,4.8
California,2017,09,4.7
California,2017,10,4.6
California,2017,11,4.5
California,2017,12,4.5
California,2018,01,4.4
California,2018,02,4.3
California,2018,03,4.3
California,2018,04,4.2
California,2018,05,4.2
California,2018,06,4.2
California,2018,07,4.2
California,2018,08,4.2
California,2018,09,4.2
California,2018,10,4.3
California,2018,11,4.3
California,2018,12,4.3
California,2019,01,4.3
California,2019,02,4.3
California,2019,03,4.2
California,2019,04,4.1
California,2019,05,4.0
California,2019,06,4.0
California,2019,07,4.0
California,2019,08,4.0
California,2019,09,4.0
California,2019,10,4.0
California,2019,11,4.1
California,2019,12,4.1
California,2020,01,4.3
California,2020,02,4.4
California,2020,03,5.5
California,2020,04,16.1
California,2020,05,15.8
California,2020,06,13.8
California,2020,07,13.1
California,2020,08,11.8
California,2020,09,9.9
California,2020,10,9.3
California,2020,11,9.0
California,2020,12,9.0
California,2021,01,8.7
California,2021,02,8.6
California,2021,03,8.5
California,2021,04,8.4
California,2021,05,8.0
California,2021,06,7.9
California,2021,07,7.4
California,2021,08,7.0
California,2021,09,6.5
California,2021,10,6.1
California,2021,11,5.7
California,2021,12,5.4
California,2022,01,5.2
California,2022,02,4.8
California,2022,03,4.5
California,2022,04,4.3
California,2022,05,4.1
California,2022,06,4.0
California,2022,07,3.9
California,2022,08,3.8
California,2022,09,4.0
California,2022,10,4.1
California,2022,11,4.3
California,2022,12,4.4
California,2023,01,4.4
California,2023,02,4.5
California,2023,03,4.5
California,2023,04,4.5
California,2023,05,4.6
California,2023,06,4.6
California,2023,07,4.7
California,2023,08,4.8
California,2023,09,4.9
California,2023,10,5.0
California,2023,11,5.0
California,2023,12,5.1
California,2024,01,5.1
California,2024,02,5.1
California,2024,03,5.2
California,2024,04,5.2
California,2024,05,5.2
California,2024,06,5.3
California,2024,07,5.4
California,2024,08,5.4
California,2024,09,5.4
California,2024,10,5.4
California,2024,11,5.4
California,2024,12,5.4
California,2025,01,5.4
California,2025,02,5.4
California,2025,03,5.4
California,2025,04,5.4
California,2025,05,5.5
California,2025,06,5.5
California,2025,07,5.5
California,2025,08,5.5
California,2025,09,5.5
California,2025,10,-
California,2025,11,5.5
California,2025,12,5.5
Colorado,2016,01,3.3
Colorado,2016,02,3.3
Colorado,2016,03,3.3
Colorado,2016,04,3.3
Colorado,2016,05,3.3
Colorado,2016,06,3.2
Colorado,2016,07,3.2
Colorado,2016,08,3.1
Colorado,2016,09,3.0
Colorado,2016,10,2.9
Colorado,2016,11,2.8
Colorado,2016,12,2.7
Colorado,2017,01,2.6
Colorado,2017,02,2.5
Colorado,2017,03,2.4
Colorado,2017,04,2.4
Colorado,2017,05,2.4
Colorado,2017,06,2.5
Colorado,2017,07,2.6
Colorado,2017,08,2.7
Colorado,2017,09,2.8
Colorado,2017,10,2.8
Colorado,2017,11,2.8
Colorado,2017,12,2.9
Colorado,2018,01,2.9
Colorado,2018,02,2.9
Colorado,2018,03,2.9
Colorado,2018,04,3.0
Colorado,2018,05,3.0
Colorado,2018,06,3.1
Colorado,2018,07,3.1
Colorado,2018,08,3.1
Colorado,2018,09,3.1
Colorado,2018,10,3.1
Colorado,2018,11,3.1
Colorado,2018,12,3.0
Colorado,2019,01,3.0
Colorado,2019,02,2.9
Colorado,2019,03,2.8
Colorado,2019,04,2.6
Colorado,2019,05,2.6
Colorado,2019,06,2.5
Colorado,2019,07,2.5
Colorado,2019,08,2.5
Colorado,2019,09,2.5
Colorado,2019,10,2.6
Colorado,2019,11,2.7
Colorado,2019,12,2.8
Colorado,2020,01,3.0
Colorado,2020,02,3.2
Colorado,2020,03,3.4
Colorado,2020,04,11.2
Colorado,2020,05,11.7
Colorado,2020,06,11.2
Colorado,2020,07,6.5
Colorado,2020,08,6.2
Colorado,2020,09,6.3
Colorado,2020,10,6.2
Colorado,2020,11,6.2
Colorado,2020,12,6.4
Colorado,2021,01,6.3
Colorado,2021,02,6.3
Colorado,2021,03,6.2
Colorado,2021,04,6.2
Colorado,2021,05,6.0
Colorado,2021,06,5.9
Colorado,2021,07,5.7
Colorado,2021,08,5.4
Colorado,2021,09,4.9
Colorado,2021,10,4.6
Colorado,2021,11,4.4
Colorado,2021,12,4.2
Colorado,2022,01,4.0
Colorado,2022,02,3.6
Colorado,2022,03,3.3
Colorado,2022,04,3.1
Colorado,2022,05,3.0
Colorado,2022,06,2.9
Colorado,2022,07,2.7
Colorado,2022,08,2.6
Colorado,2022,09,2.8
Colorado,2022,10,2.9
Colorado,2022,11,2.9
Colorado,2022,12,3.0
Colorado,2023,01,3.0
Colorado,2023,02,3.0
Colorado,2023,03,3.1
Colorado,2023,04,3.1
Colorado,2023,05,3.2
Colorado,2023,06,3.2
Colorado,2023,07,3.3
Colorado,2023,08,3.3
Colorado,2023,09,3.4
Colorado,2023,10,3.5
Colorado,2023,11,3.6
Colorado,2023,12,3.7
Colorado,2024,01,3.8
Colorado,2024,02,3.9
Colorado,2024,03,3.9
Colorado,2024,04,4.0
Colorado,2024,05,4.1
Colorado,2024,06,4.1
Colorado,2024,07,4.2
Colorado,2024,08,4.3
Colorado,2024,09,4.3
Colorado,2024,10,4.3
Colorado,2024,11,4.3
Colorado,2024,12,4.3
Colorado,2025,01,4.3
Colorado,2025,02,4.3
Colorado,2025,03,4.2
Colorado,2025,04,4.2
Colorado,2025,05,4.1
Colorado,2025,06,4.0
Colorado,2025,07,3.9
Colorado,2025,08,3.9
Colorado,2025,09,3.8
Colorado,2025,10,-
Colorado,2025,11,3.8
Colorado,2025,12,3.8
Connecticut,2016,01,5.3
Connecticut,2016,02,5.2
Connecticut,2016,03,5.1
Connecticut,2016,04,5.0
Connecticut,2016,05,5.0
Connecticut,2016,06,4.9
Connecticut,2016,07,4.8
Connecticut,2016,08,4.7
Connecticut,2016,09,4.7
Connecticut,2016,10,4.6
Connecticut,2016,11,4.6
Connecticut,2016,12,4.6
Connecticut,2017,01,4.6
Connecticut,2017,02,4.5
Connecticut,2017,03,4.5
Connecticut,2017,04,4.5
Connecticut,2017,05,4.4
Connecticut,2017,06,4.4
Connecticut,2017,07,4.4
Connecticut,2017,08,4.4
Connecticut,2017,09,4.3
Connecticut,2017,10,4.3
Connecticut,2017,11,4.3
Connecticut,2017,12,4.3
Connecticut,2018,01,4.2
Connecticut,2018,02,4.2
Connecticut,2018,03,4.1
Connecticut,2018,04,4.0
Connecticut,2018,05,3.9
Connecticut,2018,06,3.9
Connecticut,2018,07,3.8
Connecticut,2018,08,3.8
Connecticut,2018,09,3.8
Connecticut,2018,10,3.7
Connecticut,2018,11,3.7
Connecticut,2018,12,3.7
Connecticut,2019,01,3.7
Connecticut,2019,02,3.6
Connecticut,2019,03,3.5
Connecticut,2019,04,3.5
Connecticut,2019,05,3.5
Connecticut,2019,06,3.5
Connecticut,2019,07,3.5
Connecticut,2019,08,3.6
Connecticut,2019,09,3.6
Connecticut,2019,10,3.6
Connecticut,2019,11,3.7
Connecticut,2019,12,3.7
Connecticut,2020,01,3.8
Connecticut,2020,02,3.8
Connecticut,2020,03,3.9
Connecticut,2020,04,8.3
Connecticut,2020,05,11.9
Connecticut,2020,06,11.5
Connecticut,2020,07,11.7
Connecticut,2020,08,9.6
Connecticut,2020,09,8.8
Connecticut,2020,10,7.9
Connecticut,2020,11,7.5
Connecticut,2020,12,7.4
Connecticut,2021,01,7.2
Connecticut,2021,02,7.2
Connecticut,2021,03,7.1
Connecticut,2021,04,7.2
Connecticut,2021,05,7.0
Connecticut,2021,06,6.9
Connecticut,2021,07,6.6
Connecticut,2021,08,6.3
Connecticut,2021,09,5.9
Connecticut,2021,10,5.6
Connecticut,2021,11,5.3
Connecticut,2021,12,5.0
Connecticut,2022,01,4.8
Connecticut,2022,02,4.5
Connecticut,2022,03,4.3
Connecticut,2022,04,4.2
Connecticut,2022,05,4.1
Connecticut,2022,06,4.0
Connecticut,2022,07,3.9
Connecticut,2022,08,3.7
Connecticut,2022,09,3.7
Connecticut,2022,10,3.7
Connecticut,2022,11,3.6
Connecticut,2022,12,3.5
Connecticut,2023,01,3.4
Connecticut,2023,02,3.3
Connecticut,2023,03,3.2
Connecticut,2023,04,3.1
Connecticut,2023,05,3.1
Connecticut,2023,06,3.1
Connecticut,2023,07,3.1
Connecticut,2023,08,3.1
Connecticut,2023,09,3.2
Connecticut,2023,10,3.2
Connecticut,2023,11,3.3
Connecticut,2023,12,3.3
Connecticut,2024,01,3.3
Connecticut,2024,02,3.2
Connecticut,2024,03,3.2
Connecticut,2024,04,3.2
Connecticut,2024,05,3.2
Connecticut,2024,06,3.2
Connecticut,2024,07,3.3
Connecticut,2024,08,3.3
Connecticut,2024,09,3.4
Connecticut,2024,10,3.4
Connecticut,2024,11,3.5
Connecticut,2024,12,3.5
Connecticut,2025,01,3.6
Connecticut,2025,02,3.7
Connecticut,2025,03,3.7
Connecticut,2025,04,3.8
Connecticut,2025,05,3.8
Connecticut,2025,06,3.9
Connecticut,2025,07,3.9
Connecticut,2025,08,4.1
Connecticut,2025,09,4.2
Connecticut,2025,10,-
Connecticut,2025,11,4.3
Connecticut,2025,12,4.3
Delaware,2016,01,4.5
Delaware,2016,02,4.5
Delaware,2016,03,4.5
Delaware,2016,04,4.5
Delaware,2016,05,4.5
Delaware,2016,06,4.5
Delaware,2016,07,4.5
Delaware,2016,08,4.5
Delaware,2016,09,4.6
Delaware,2016,10,4.6
Delaware,2016,11,4.6
Delaware,2016,12,4.6
Delaware,2017,01,4.6
Delaware,2017,02,4.6
Delaware,2017,03,4.5
Delaware,2017,04,4.5
Delaware,2017,05,4.5
Delaware,2017,06,4.4
Delaware,2017,07,4.4
Delaware,2017,08,4.3
Delaware,2017,09,4.3
Delaware,2017,10,4.3
Delaware,2017,11,4.2
Delaware,2017,12,4.2
Delaware,2018,01,4.1
Delaware,2018,02,4.0
Delaware,2018,03,3.9
Delaware,2018,04,3.8
Delaware,2018,05,3.7
Delaware,2018,06,3.7
Delaware,2018,07,3.6
Delaware,2018,08,3.5
Delaware,2018,09,3.5
Delaware,2018,10,3.5
Delaware,2018,11,3.5
Delaware,2018,12,3.5
Delaware,2019,01,3.5
Delaware,2019,02,3.5
Delaware,2019,03,3.5
Delaware,2019,04,3.5
Delaware,2019,05,3.5
Delaware,2019,06,3.5
Delaware,2019,07,3.6
Delaware,2019,08,3.6
Delaware,2019,09,3.6
Delaware,2019,10,3.6
Delaware,2019,11,3.6
Delaware,2019,12,3.6
Delaware,2020,01,3.6
Delaware,2020,02,3.6
Delaware,2020,03,5.0
Delaware,2020,04,13.1
Delaware,2020,05,13.4
Delaware,2020,06,12.8
Delaware,2020,07,7.6
Delaware,2020,08,7.4
Delaware,2020,09,7.6
Delaware,2020,10,5.2
Delaware,2020,11,5.4
Delaware,2020,12,5.6
Delaware,2021,01,5.8
Delaware,2021,02,5.9
Delaware,2021,03,6.0
Delaware,2021,04,6.0
Delaware,2021,05,5.9
Delaware,2021,06,5.8
Delaware,2021,07,5.6
Delaware,2021,08,5.4
Delaware,2021,09,5.1
Delaware,2021,10,4.9
Delaware,2021,11,4.8
Delaware,2021,12,4.6
Delaware,2022,01,4.5
Delaware,2022,02,4.4
Delaware,2022,03,4.3
Delaware,2022,04,4.2
Delaware,2022,05,4.2
Delaware,2022,06,4.2
Delaware,2022,07,4.1
Delaware,2022,08,4.1
Delaware,2022,09,4.1
Delaware,2022,10,4.2
Delaware,2022,11,4.1
Delaware,2022,12,4.1
Delaware,2023,01,4.0
Delaware,2023,02,3.9
Delaware,2023,03,3.9
Delaware,2023,04,3.8
Delaware,2023,05,3.8
Delaware,2023,06,3.8
Delaware,2023,07,3.9
Delaware,2023,08,3.9
Delaware,2023,09,3.9
Delaware,2023,10,4.0
Delaware,2023,11,3.9
Delaware,2023,12,3.9
Delaware,2024,01,3.9
Delaware,2024,02,3.8
Delaware,2024,03,3.8
Delaware,2024,04,3.9
Delaware,2024,05,3.9
Delaware,2024,06,4.0
Delaware,2024,07,4.0
Delaware,2024,08,3.9
Delaware,2024,09,3.9
Delaware,2024,10,3.9
Delaware,2024,11,4.0
Delaware,2024,12,4.0
Delaware,2025,01,4.1
Delaware,2025,02,4.3
Delaware,2025,03,4.4
Delaware,2025,04,4.5
Delaware,2025,05,4.5
Delaware,2025,06,4.7
Delaware,2025,07,4.8
Delaware,2025,08,5.0
Delaware,2025,09,5.2
Delaware,2025,10,-
Delaware,2025,11,5.3
Delaware,2025,12,5.3
District of Columbia,2016,01,6.4
District of Columbia,2016,02,6.3
District of Columbia,2016,03,6.2
District of Columbia,2016,04,6.1
District of Columbia,2016,05,6.1
District of Columbia,2016,06,6.1
District of Columbia,2016,07,6.2
District of Columbia,2016,08,6.2
District of Columbia,2016,09,6.3
District of Columbia,2016,10,6.3
District of Columbia,2016,11,6.3
District of Columbia,2016,12,6.3
District of Columbia,2017,01,6.3
District of Columbia,2017,02,6.2
District of Columbia,2017,03,6.2
District of Columbia,2017,04,6.2
District of Columbia,2017,05,6.2
District of Columbia,2017,06,6.2
District of Columbia,2017,07,6.1
District of Columbia,2017,08,6.1
District of Columbia,2017,09,6.0
District of Columbia,2017,10,6.0
District of Columbia,2017,11,5.9
District of Columbia,2017,12,5.9
District of Columbia,2018,01,5.9
District of Columbia,2018,02,5.9
District of Columbia,2018,03,5.8
District of Columbia,2018,04,5.8
District of Columbia,2018,05,5.7
District of Columbia,2018,06,5.7
District of Columbia,2018,07,5.6
District of Columbia,2018,08,5.5
District of Columbia,2018,09,5.5
District of Columbia,2018,10,5.6
District of Columbia,2018,11,5.7
District of Columbia,2018,12,5.9
District of Columbia,2019,01,5.9
District of Columbia,2019,02,5.9
District of Columbia,2019,03,5.9
District of Columbia,2019,04,5.7
District of Columbia,2019,05,5.6
